,id,title,channelID,views,likes,dislikes,duration_secs,dateUploaded,dateFound,discoveryTime_days
49,ez5kQfcqoz4,Hablot Brown & Maths Time Joy - Reason,UCQmEioliO9mSfg3VpcMjPoQ,5165,139,1,201,2018-07-29 16:11:36,2018-09-13 05:59:17,45
50,taxECqZNokg,Hablot Brown - Gone,UC3ozEX_54Pz_jGWI-t1tw3w,1582,75,1,232,2018-08-02 09:47:23,2018-09-13 06:02:03,41
51,flzG7QB0Q18,Sonder - Too Fast,UCsfuROyBjFT_CQyjkkBbYWA,6180733,142823,2794,349,2017-05-04 16:28:04,2018-09-13 06:03:00,496
52,c_7YvJ0qwKM,HABLOT BROWN FEAT. GABRILLE CURRENT - PRESSURE,UC4yWx5ZPv2w9vFGdMtxFpaA,138,5,0,213,2018-07-31 16:02:30,2018-09-13 06:05:55,43
53,1eDvtvdoxJE,"Moonchild - ""The List"" (Official Video)",UCCBSAJ-B8QNfds8zAkjn51A,3860194,92217,1652,311,2018-03-09 15:44:16,2018-09-13 19:23:39,188
54,W00Dr70w5qE,Justice Skolnik - Glow (ft. Jeremy Zucker),UCouV5on9oauLTYF-gYhziIQ,42961,598,19,248,2015-10-27 15:01:22,2018-09-14 18:13:07,1053
55,2uPxtX92CRc,R3HAB x Sofia Carson - Rumors (Official Video),UCO6Rq8SSY5ui4ptyMkLirIQ,12011559,110986,1862,153,2018-08-30 16:00:18,2018-09-14 22:43:26,15
56,x2tUXts-1wM,Sade - Kiss of Life (Kaytranada Edit),UCXIyz409s7bNWVcM-vjfdVA,578798,11222,131,337,2018-08-15 18:09:33,2018-09-16 20:32:00,32
57,lr4CzSrd8_w,kr1sh - Champion,UCSDz7pf448A4cZMT_AuNyiA,1667,48,3,170,2018-09-16 14:00:04,2018-09-17 01:38:54,0
58,fZW_xim4UH8,Jarreau Vandal - Someone That You Love,UCXIyz409s7bNWVcM-vjfdVA,496770,9316,111,178,2017-03-24 14:30:02,2018-09-17 22:11:08,542
59,K2ZGayu0bUI,Noah & Shagabond - Arouse,UCXIyz409s7bNWVcM-vjfdVA,77640,1872,45,215,2018-08-06 16:13:09,2018-09-19 00:48:21,43
60,YuPzpoC3QNc,The Chainsmokers - This Feeling (Lyric Video) ft. Kelsea Ballerini,UCRzzwLpLiUNIs6YOPe33eMg,22998608,437409,7587,197,2018-09-18 16:00:03,2018-09-19 15:41:19,0
61,QR_gbTczkD4,Avizura - Lucky Star,UCSXm6c-n6lsjtyjvdD0bFVw,827760,9625,101,386,2013-10-07 18:46:12,2018-09-19 16:55:55,1807
62,K0yDvd0V9wA,Panic Room,UCIuastkfs1VhEWE6aBWv4kg,2760141,41689,1566,238,2018-04-26 17:34:03,2018-09-19 20:55:35,146
63,IyYapHhLMu8,Honey Lavender,UC6zhcqtc9NRildde08SodWA,564064,10024,171,181,2017-12-31 10:21:06,2018-09-19 20:57:28,262
64,hWTabuo8Cs4,SIVIK - Last Night,UC_K12wzdEnEYZPnDc_i9mXw,143150,3380,109,231,2016-01-29 22:01:40,2018-09-19 21:16:12,963
65,2R_MlC7PmWU,The Marcus King Band - Homesick (Lyric Video),UC6dwaC5J_YiXXsRCZhqK3yw,7116,244,3,226,2018-09-19 21:58:06,2018-09-20 00:05:57,0
66,LiTEs1sTC1M,Puppy Dog Eyes - Ida Laurberg,UCRfj6_dW9AWuXZEnDhkQuxQ,6042257,114339,1600,179,2016-03-25 17:21:00,2018-09-20 00:40:58,908
67,D6F9PheK6NU,Sikdope - Lost In The Blue (feat. Nevve),UCIKF1msqN7lW9gplsifOPkQ,73281,2880,26,161,2018-09-16 14:28:44,2018-09-20 03:09:28,3
68,kudi8OtMu9s,Bryce Vine - Drew Barrymore [Official Music Video],UCHQE-c1JX7Io3zcXgXBQKlw,16343512,131773,7071,193,2018-02-15 19:57:19,2018-09-20 04:36:28,216
